from_date,station_id,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O-Xylene,Temp,RH,SR,BP,PM2.5,NMHC,THC,PM10,NO,NO2,NOx,NH3,SO2,CO,month,is_festival,is_secondary_event,is_local_event,hour,day_of_week,is_weekend,is_winter,is_early_month,PM25_lag_1,PM25_lag_6,PM25_lag_24,is_peak_hour
2025-01-01 00:00:00,Peenya,32.2,0.66,1.84,,0.65,,,92.72,5.59,952.92,47.99,,,94.19,7.51,15.3,23.02,12.51,7.44,0.88,1,1,0,0,0,2,0,1,1,,,,0
2025-01-01 00:00:00,RVCE_Mailsandra,22.4,0.7,1.22,0.66,0.28,69.96,2.47,248.03,,,0.505,0.0,21.92,75.95,4.09,18.88,22.86,16.43,4.46,0.73,1,1,0,0,0,2,0,1,1,,,,0
2025-01-01 00:00:00,Silkboard,21.89,1.03,2.27,,,27.52,64.0,,718.5,,59.75,,,131.25,1.18,13.93,8.35,1.82,10.63,0.24,1,1,0,0,0,2,0,1,1,,,,0
2025-01-01 01:00:00,Peenya,31.72,0.64,1.89,,0.65,,,93.5,5.59,952.77,48.99,,,96.16,7.68,17.61,25.37,12.68,7.47,0.86,1,1,0,0,1,2,0,1,1,47.99,,,0
2025-01-01 01:00:00,RVCE_Mailsandra,22.33,0.7,1.12,0.71,0.28,73.68,2.39,256.08,,,0.48,0.0,21.6,93.23,4.07,18.0,23.38,16.56,4.52,0.87,1,1,0,0,1,2,0,1,1,0.505,,,0
2025-01-01 01:00:00,Silkboard,21.81,1.0,2.25,,,27.55,64.25,,718.0,,68.5,,,151.0,1.32,13.82,8.45,1.75,10.43,0.49,1,1,0,0,1,2,0,1,1,59.75,,,0
2025-01-01 02:00:00,Peenya,32.53,0.64,1.88,,0.65,,,93.57,5.59,952.62,50.97,,,100.04,5.95,17.66,23.45,10.95,8.11,0.88,1,1,0,0,2,2,0,1,1,48.99,,,0
2025-01-01 02:00:00,RVCE_Mailsandra,22.32,0.69,1.11,0.65,0.25,73.8,2.62,230.96,,,0.46,0.0,21.41,108.74,4.07,17.86,22.73,16.24,4.4,0.66,1,1,0,0,2,2,0,1,1,0.48,,,0
2025-01-01 02:00:00,Silkboard,21.25,1.0,2.1,,,27.5,65.0,,717.0,,70.0,,,154.0,1.4,13.9,8.6,1.7,9.9,0.51,1,1,0,0,2,2,0,1,1,68.5,,,0
2025-01-01 03:00:00,Peenya,32.48,0.62,1.88,,0.66,,,93.6,5.59,952.49,48.21,,,94.63,7.53,16.96,24.7,12.53,9.14,0.89,1,1,0,0,3,2,0,1,1,50.97,,,0
2025-01-01 03:00:00,RVCE_Mailsandra,22.1,0.67,1.14,0.65,0.27,72.76,2.53,207.68,,,0.415,0.0,21.16,110.73,4.01,18.12,22.69,16.43,4.57,0.57,1,1,0,0,3,2,0,1,1,0.46,,,0
2025-01-01 04:00:00,Peenya,32.55,0.64,1.88,,0.64,,,93.57,5.59,952.48,45.52,,,89.35,6.95,15.81,22.79,11.95,6.36,0.86,1,1,0,0,4,2,0,1,1,48.21,,,0
2025-01-01 04:00:00,RVCE_Mailsandra,21.92,0.65,1.14,0.65,0.23,73.24,2.32,208.41,,,0.415,0.0,20.82,101.35,3.96,18.17,22.66,16.03,4.38,0.71,1,1,0,0,4,2,0,1,1,0.415,,,0
2025-01-01 05:00:00,RVCE_Mailsandra,22.25,0.69,1.19,0.71,0.28,75.6,2.71,228.33,,,0.435,0.0,20.48,100.8,4.05,18.6,23.43,16.56,4.78,0.79,1,1,0,0,5,2,0,1,1,0.415,,,0
2025-01-01 05:00:00,Peenya,32.37,0.68,1.89,,0.66,,,93.53,5.59,952.54,44.18,,,86.73,5.8,17.32,22.93,10.8,6.92,0.86,1,1,0,0,5,2,0,1,1,45.52,,,0
2025-01-01 06:00:00,Peenya,32.12,0.65,1.91,,0.65,,,93.6,5.59,952.69,40.5,,,79.51,7.08,16.37,23.4,12.08,7.12,0.87,1,1,0,0,6,2,0,1,1,44.18,47.99,,0
2025-01-01 06:00:00,RVCE_Mailsandra,21.98,0.66,1.12,0.69,0.27,76.06,2.32,225.57,,,0.395,0.0,20.16,96.26,3.98,17.99,23.25,16.46,4.49,0.86,1,1,0,0,6,2,0,1,1,0.435,0.505,,0
2025-01-01 07:00:00,RVCE_Mailsandra,22.17,0.67,1.12,0.67,0.25,70.5,2.67,249.06,,,0.355,0.0,20.94,85.96,4.03,17.98,23.0,16.24,4.49,0.86,1,1,0,0,7,2,0,1,1,0.395,0.48,,0
2025-01-01 07:00:00,Peenya,31.94,0.64,1.87,,0.65,,,93.5,5.62,952.84,38.89,,,76.35,7.86,16.91,24.76,12.86,7.18,0.87,1,1,0,0,7,2,0,1,1,40.5,48.99,,0
2025-01-01 08:00:00,RVCE_Mailsandra,21.66,0.62,1.16,0.72,0.28,54.75,2.32,237.36,,,0.475,0.0,22.67,70.8,3.89,18.29,23.49,16.54,4.69,0.74,1,1,0,0,8,2,0,1,1,0.355,0.46,,1
2025-01-01 08:00:00,Peenya,32.18,0.64,1.89,,0.64,,,73.1,236.97,953.0,39.81,,,78.16,7.34,17.95,25.04,12.35,8.01,0.86,1,1,0,0,8,2,0,1,1,38.89,50.97,,1
2025-01-01 09:00:00,Peenya,32.33,0.66,1.87,,0.65,,,49.9,383.73,953.09,43.35,,,85.1,8.4,16.42,24.7,13.4,7.45,0.87,1,1,0,0,9,2,0,1,1,39.81,48.21,,1
2025-01-01 09:00:00,RVCE_Mailsandra,22.26,0.69,1.13,0.67,0.24,44.85,2.58,228.31,,,0.64,0.0,23.69,37.11,4.05,18.08,22.99,16.13,4.64,1.0,1,1,0,0,9,2,0,1,1,0.475,0.415,,1
2025-01-01 10:00:00,RVCE_Mailsandra,22.13,0.67,1.15,0.65,0.26,40.44,2.37,238.95,,,0.595,0.0,24.72,23.16,4.02,18.3,22.74,16.38,4.56,0.89,1,1,0,0,10,2,0,1,1,0.64,0.415,,1
2025-01-01 10:00:00,Peenya,33.08,0.66,1.87,,0.65,,,40.15,496.83,953.08,45.59,,,89.48,6.72,16.43,23.09,11.72,7.31,0.85,1,1,0,0,10,2,0,1,1,43.35,45.52,,1
2025-01-01 11:00:00,Peenya,32.01,0.66,1.83,,0.66,,,34.62,550.22,952.97,46.3,,,90.89,8.22,18.71,26.95,13.22,10.29,0.88,1,1,0,0,11,2,0,1,1,45.59,44.18,,1
2025-01-01 11:00:00,RVCE_Mailsandra,22.02,0.66,1.12,0.68,0.21,35.36,2.42,237.34,,,0.925,0.0,25.59,29.42,3.99,17.98,23.0,15.9,4.54,0.84,1,1,0,0,11,2,0,1,1,0.595,0.435,,1
2025-01-01 12:00:00,RVCE_Mailsandra,22.35,0.7,1.14,0.64,0.25,32.48,1.95,247.15,,,1.285,0.0,26.34,38.63,4.08,18.11,22.63,16.17,4.53,0.85,1,1,0,0,12,2,0,1,1,0.925,0.395,,0
2025-01-01 12:00:00,Peenya,32.84,0.64,1.86,,0.64,,,30.4,546.65,952.69,46.84,,,91.94,8.09,18.29,26.46,13.09,8.5,0.86,1,1,0,0,12,2,0,1,1,46.3,40.5,,0
2025-01-01 13:00:00,Peenya,32.46,0.63,1.88,,0.66,,,30.18,491.78,952.41,45.91,,,90.12,7.32,17.32,24.5,12.32,6.74,0.87,1,1,0,0,13,2,0,1,1,46.84,38.89,,0
2025-01-01 13:00:00,RVCE_Mailsandra,22.02,1.62,0.88,0.85,0.61,30.4,2.25,211.44,,,0.94,0.0,26.57,53.64,5.78,21.83,28.56,23.88,4.67,0.62,1,1,0,0,13,2,0,1,1,1.285,0.355,,0
2025-01-01 14:00:00,Peenya,32.46,0.64,1.91,,0.65,,,27.17,395.59,952.17,41.89,,,82.25,5.3,17.61,22.55,10.3,7.71,0.86,1,1,0,0,14,2,0,1,1,45.91,39.81,,0
2025-01-01 14:00:00,Silkboard,20.74,1.05,2.35,,,28.3,47.0,,714.5,,29.0,,,64.0,1.8,14.2,9.05,1.65,10.7,0.38,1,1,0,0,14,2,0,1,1,,,,0
2025-01-01 14:00:00,RVCE_Mailsandra,22.31,1.83,0.76,0.88,0.75,27.81,2.25,241.61,,,0.555,0.0,27.06,66.1,6.07,21.62,29.21,25.44,4.58,0.57,1,1,0,0,14,2,0,1,1,0.94,0.475,,0
2025-01-01 15:00:00,RVCE_Mailsandra,22.29,1.83,0.81,0.85,0.7,29.54,2.25,236.41,,,0.21,0.0,27.05,65.72,6.06,22.03,28.86,24.96,4.66,0.71,1,1,0,0,15,2,0,1,1,0.555,0.64,,0
2025-01-01 15:00:00,Peenya,32.48,0.66,1.87,,0.64,,,26.37,264.41,952.03,46.65,,,91.58,5.42,17.09,22.58,10.42,7.26,0.88,1,1,0,0,15,2,0,1,1,41.89,43.35,,0
2025-01-01 16:00:00,Silkboard,20.6,1.1,2.4,,,28.3,47.25,,714.0,,29.25,,,83.0,1.37,14.3,8.7,1.77,11.07,0.41,1,1,0,0,16,2,0,1,1,,,,0
2025-01-01 16:00:00,Peenya,32.8,0.65,1.87,,0.65,,,29.45,118.9,952.0,53.02,,,104.05,6.21,15.77,21.81,11.21,8.25,0.87,1,1,0,0,16,2,0,1,1,46.65,45.59,,0
2025-01-01 16:00:00,RVCE_Mailsandra,21.72,1.76,0.82,0.88,0.77,31.13,2.31,241.46,,,0.05,0.0,26.39,64.28,5.9,22.15,29.17,25.66,4.3,0.6,1,1,0,0,16,2,0,1,1,0.21,0.595,,0
2025-01-01 17:00:00,Silkboard,21.23,1.0,2.25,,,28.23,48.75,,714.25,,33.5,,,87.0,1.18,14.55,8.7,1.85,10.38,0.51,1,1,0,0,17,2,0,1,1,29.25,,,1
2025-01-01 17:00:00,Peenya,32.29,0.64,1.88,,0.64,,,37.83,10.83,952.13,58.51,,,114.83,7.22,18.25,25.54,12.22,8.34,0.85,1,1,0,0,17,2,0,1,1,53.02,46.3,,1
2025-01-01 17:00:00,RVCE_Mailsandra,21.71,1.77,0.77,0.84,0.72,35.45,2.59,255.26,,,0.0,0.0,25.51,63.62,5.9,21.75,28.67,25.16,4.54,0.9,1,1,0,0,17,2,0,1,1,0.05,0.925,,1
2025-01-01 18:00:00,Silkboard,21.23,0.97,2.17,,,28.05,51.75,,715.25,,37.25,,,101.5,1.25,14.4,8.7,2.02,10.08,0.66,1,1,0,0,18,2,0,1,1,33.5,,,1
2025-01-01 18:00:00,Peenya,32.49,0.65,1.81,,0.64,,,46.35,5.59,952.33,58.03,,,113.88,7.52,17.37,24.77,12.52,8.35,0.86,1,1,0,0,18,2,0,1,1,58.51,46.84,,1
2025-01-01 18:00:00,RVCE_Mailsandra,21.88,1.79,0.81,0.86,0.78,43.81,2.51,267.49,,,0.0,0.0,24.49,67.85,5.95,22.09,28.92,25.75,4.61,0.71,1,1,0,0,18,2,0,1,1,0.0,1.285,,1
2025-01-01 19:00:00,Silkboard,21.66,0.95,2.1,,,28.0,54.5,,716.25,,44.0,,,114.0,1.1,14.78,8.75,2.08,9.78,0.75,1,1,0,0,19,2,0,1,1,37.25,,,1
2025-01-01 19:00:00,Peenya,32.25,0.66,1.88,,0.65,,,52.75,5.59,952.54,59.17,,,116.12,6.62,16.59,23.24,11.62,8.03,0.88,1,1,0,0,19,2,0,1,1,58.03,45.91,,1
2025-01-01 19:00:00,RVCE_Mailsandra,21.89,1.79,0.79,0.84,0.72,47.88,2.63,255.55,,,0.0,0.0,23.85,72.03,5.95,21.83,28.75,25.16,4.56,0.69,1,1,0,0,19,2,0,1,1,0.0,0.94,,1
2025-01-01 20:00:00,Silkboard,21.83,0.92,2.05,,,27.85,56.25,,717.0,,44.5,,,103.25,1.1,14.88,8.8,2.0,9.47,0.8,1,1,0,0,20,2,0,1,1,44.0,29.0,,1
2025-01-01 20:00:00,Peenya,32.39,0.66,1.82,,0.65,,,59.52,5.59,952.72,64.15,,,125.88,6.97,17.46,24.36,11.97,7.46,0.88,1,1,0,0,20,2,0,1,1,59.17,41.89,,1
2025-01-01 20:00:00,RVCE_Mailsandra,22.27,1.83,0.81,0.9,0.74,53.16,2.61,246.13,,,0.0,0.0,23.17,73.99,6.06,22.1,29.41,25.32,4.63,0.65,1,1,0,0,20,2,0,1,1,0.0,0.555,,1
2025-01-01 21:00:00,Silkboard,21.83,0.95,2.05,,,27.65,57.25,,718.0,,46.5,,,108.0,1.48,14.7,9.02,1.85,9.6,0.48,1,1,0,0,21,2,0,1,1,44.5,,,1
